clean_text,label,id
dia sendiri yang mengiklankan promo cashback di aplikasinyya dan penggunaan kode berhasil tapi cashback tidak masuk dan bilangnya ada kesalahan pada sistem dan promo sudah berakhir dan bodoh amat oi kesalahan sistem bukan urusanku aku hanya ingin cashback yang dijanjikan olehmu pengguna uniform resource locator,abusive,1
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego,abusive,2
kampret kan kalau salah ketik nya di email kantor ketika gue merasa mengetik kata serpong ternyata pas sudah ke kirim tidak ada r nya xf x f x x,abusive,3
mending makan di sini lebih murah buang buang duit kamu nanti juga jadi tai dan atau tidak sih a beli barang murah terus sih b komen ih kok kamu beli di situ sih kan murah pasti bahannya tidak bagus dan lalu sih b secara tidak langsung dan tidak merasa sudah menyakiti hati sih a dengan perkataan,abusive,4
biarkan oppa masukan vibrator ke memek oppa kok di memasukkan aku kan mau pemotretan lanjut,pelecehan seksual,5
peluk badan kamu dari belakang selipkan tangan ke dalam cd kamu ngaceng nih yang gesekan jari tengah ke bibir memek kamu teken klitoris kamu,pelecehan seksual,6
ada ibu hamil tidak jadi ingin ngentot memek ibu hamil yang binal frontal dan suka ngelonte pas suaminya tidak ada,pelecehan seksual,7
ada perek yang imajinasi nya liar yang long reply tidak cuma desah doang mau gue mainkan memeknya langsung ikuti ya,pelecehan seksual,8
ada perek yang mau dimainkan memeknya yang long reply ya,pelecehan seksual,9
cari yeoja yang chara seksi lonte suka spam pic caranya yang mau ngentot rep like ya draxe,pelecehan seksual,10
cowok yang jago drasex mana sini ngentot sama adik luvian,pelecehan seksual,11
dari tadi menungging sambil mainkan memek sange banget coy,pelecehan seksual,12
aduh rindu gesekan kontol dia ke memek,pelecehan seksual,13
jepitkan kontol gue pakai memek kamu sini,pelecehan seksual,14
lewat kamar kamu lihat kamu elusi memek he apa itu tangannya barom fc,pelecehan seksual,15
memek perek ingin di gesekan ke habis cowok nih mhh,pelecehan seksual,16
model seksi sini ngentot di direct message sama gue pret detail fr bule,pelecehan seksual,17
nona aku pulang teriak nona dimana mengintip kamarnya kaget lihat nona lagi gesekan memek ke bantal mama,pelecehan seksual,18
ingin ngobelin memek kamu sambil aku jilati klitorisnya hhhmmm,pelecehan seksual,19
sange hem mas mainkan memek adik dong sayang,pelecehan seksual,20
jadi biang kegaduhannya itu partai keadilan sejahtera saya sih tidak percaya masa partai keadilan sejahtera kayak begitu xf x f x x a lanjut beliau dan profesor yang menulis itu kalian jangan sok pintar sok kontra sama profesor beliau menuntut ilmu keliling dunia bukan untuk jadi orang goblok yang goblok ya kalian ini aku juga xf x f x x,abusive,21
pengguna pengguna bapak aku nor azam itu azam gila haha,abusive,22
pengguna pengguna pengguna kalau kh sama ruf berbicara pada belaga budek pada belaga pilon masih menyundul xf x f x x ganti presiden goblok kok kebangetan dan t tapjokowi t tapjokowi,abusive,23
pengguna huhu tiba sama kim bum plot twist banget sumpah aku itu sudah relakan dia sama monyet benaran biar monyet pindah on eh taunya sama dia jangan jangan monyet tidak berani dekati dia karena tau sudah ada yang punya,abusive,24
pengguna pengguna dia lupa ini twitter bukan instagram yang kalau foto pasti ada yang komen ih cantik cantikan kamu lah tidak cantikan kamu ih anjing cantikan kamu tau ih babi kamu yang cantik pokoknya dan seterusnya,abusive,25
pengguna pengguna wkwk tai oshi dan oshi kangen sama junev dan jangan jahat sama kakak jendeuk dan dan mengirim meme dan dan cih jangan menyebut dia mulu dan dasar jomlo dan oshi sudah pindah on dan sudah ya hehe,abusive,26
pengguna sa ingat monyet mana kutipan nih,abusive,27
pengguna pengguna tenggelam kan kunyuk penghianat penghancur bangsa yang satu a lagi pak uniform resource locator,abusive,28
pengguna pengguna pengguna improvisasi itu lagu al qur an itu tafsir masak susah pikir begitu murottal itu meningkatkan tilawatil qur an itu meningkatkan raut mukamu itu tafsir cara kentutmu itu tafsir cara ngentot saja tafsir cara kawin itu tafsir mengaji yang benar,pelecehan seksual,29
pengguna gembel saja bisa kalau cuma fatwa begitu tabi,abusive,30
pengguna pengguna pengguna haha benar kamu pengguna giliran majikan dia mesum tahun sih kunyuk diam pengguna sok suci pula memaki memikirkan sex muka lacur kamu kunyuk,pelecehan seksual,31
pengguna dia orang to menurut ku ke te alias monyet,abusive,32
pengguna pengguna emosi gue sama loey hyung anjir gue sudah pikir keras maksud acaranya apa sampai terperanjat bego malah diakhir dia cuma bilang ini semua cuma mimpi anjir emosi pangeran xf x f x xa,abusive,33
ayo alex jangan udik gumamnya merutuki diri sendiri dan nia lanjut menulis atmosfer di planet ini belum cukup baik untuk ditinggali manusia,abusive,34
bocah pada mengajak menonton gala premiere saya tanya filmnya apa pengabdi setan kate dia pakde dan aku kire dikibuli eh enggak taunya benaran dong berengsek uniform resource locator,abusive,35
berisik ya habis itu kamu berisik juga bahkan lebih berisik bacot tolol anjing manusia tidak tau diri,abusive,36
cinta tidak harus memiliki kata orang yang tidak pernah dicintai wkwk kasihan banget yang suka bilang kayak begitu cinta itu harus memiliki bego,abusive,37
disebut kampungan oleh nagita slavina begini reaksi ayu ting ting dan artis peran nagita slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan ayu ting ting kampungan dan dan nagita slavina ayu ting ting raffi ahmad kampungan uniform resource locator,abusive,38
iya jadi begitu ya monyet anjing gue gampar kamu lama lama kesal jadinya astagfirullah hal azim tidak boleh berbicara kasar maafkan x ngentot uniform resource locator,pelecehan seksual,39
kalau begini mereka pasti pura budek dan xf x f x x dan nikah sama ruf prabowo jangan cuma bikin gaduh xe x x viva uniform resource locator,abusive,40
lucunya adalah kak pacar menyadarkan ini telat banget guys gue rasa pengaruh micin itu memang bikin kita slow respon agak bolot begitu dia terbirit birit menelpon gue pas sudah di pintu panik mencarikan camilannya dong dan dan sayang ketinggalan camilanku ada di kita dan orang gila xf x f x xad xf x f x xad xf x f x xad,abusive,41
mau cerita anjir sedih banget dan iya cerita saja didengarkan kok dan iya masa ya dan lah sama dan ujung ujungnya dia yang cerita aku yang dengarkan,abusive,42
nikmat a ngentot pi geng yang hoot,pelecehan seksual,43
